,序号,代码,名称,相关链接,涨跌幅,龙虎榜成  交额(万),买入额(万),占总成交  比例,卖出额(万),占总成交  比例.1,上榜原因
0,1,600086,东方金钰,交易明细 股吧,10.03%,13133.11,8692.28,28.77%,4440.84,14.70%,当日涨幅偏离值达7%的证券
1,2,600311,荣华实业,交易明细 股吧,7.98%,21409.8,11004.83,5.36%,10404.97,5.07%,连续三个交易日内收盘价格涨幅偏离值累计20%
2,3,600401,退市海润,交易明细 股吧,-9.09%,533.61,289.77,29.18%,243.84,24.55%,退市整理的证券
3,4,600490,鹏欣资源,交易明细 股吧,10.00%,11043.45,8741.57,30.77%,2301.88,8.10%,当日涨幅偏离值达7%的证券
4,5,600687,*ST刚泰,交易明细 股吧,3.80%,1702.67,608.06,7.15%,1094.61,12.88%,S、ST、*ST连续三个交易日内涨幅偏离值累计达到15%
