Date,Open,High,Low,Close,Adj Close,Volume
2010-06-01,25.530001,26.930000,22.950001,23.010000,18.177536,1671811600
2010-07-01,23.090000,26.410000,22.730000,25.809999,20.389498,1408590600
2010-08-01,25.990000,26.379999,23.320000,23.469999,18.540930,1279372100
2010-09-01,23.670000,25.530001,23.540001,24.490000,19.449926,1273139500
2010-10-01,24.770000,27.200001,23.780001,26.670000,21.181273,1281432800
2010-11-01,26.879999,28.870001,24.930000,25.260000,20.061455,1361176300
2010-12-01,25.570000,28.400000,25.559999,27.910000,22.302277,1033710000
2011-01-01,28.049999,29.459999,27.420000,27.730000,22.158440,1361258700
2011-02-01,27.799999,28.340000,26.430000,26.580000,21.239498,1114368500
2011-03-01,26.600000,26.780001,24.680000,25.389999,20.408522,1310885200
2011-04-01,25.530001,26.870001,24.719999,25.920000,20.834534,1313844800
2011-05-01,25.940001,26.250000,24.030001,25.010000,20.103067,1364062800
2011-06-01,24.990000,26.000000,23.650000,26.000000,21.035822,1297757600
2011-07-01,25.930000,28.150000,25.840000,27.400000,22.168518,1259328200
2011-08-01,27.510000,27.690001,23.790001,26.600000,21.521263,1719339500
2011-09-01,26.459999,27.500000,24.600000,24.889999,20.264854,1279920200
2011-10-01,24.719999,27.500000,24.260000,26.629999,21.681520,1218142500
2011-11-01,26.190001,27.200001,24.299999,25.580000,20.826637,1046207400
2011-12-01,25.559999,26.190001,25.160000,25.959999,21.295179,1007166600
2012-01-01,26.549999,29.950001,26.389999,29.530001,24.223677,1354858100
2012-02-01,29.790001,32.000000,29.709999,31.740000,26.036560,984332300
2012-03-01,31.930000,32.950001,31.490000,32.259998,26.637335,942366500
2012-04-01,32.220001,32.889999,30.230000,32.020000,26.439165,940739700
2012-05-01,32.049999,32.340000,28.639999,29.190001,24.102409,1014372600
2012-06-01,28.760000,31.139999,28.320000,30.590000,25.424137,973131400
2012-07-01,30.620001,31.049999,28.540001,29.469999,24.493275,846604100
2012-08-01,29.590000,30.959999,28.969999,30.820000,25.615297,671748400
2012-09-01,30.450001,31.610001,29.740000,29.760000,24.898161,893107700
2012-10-01,29.809999,30.250000,27.760000,28.540001,23.877470,1105402300
2012-11-01,28.840000,30.200001,26.340000,26.620001,22.271143,1310516100
2012-12-01,26.780001,27.730000,26.260000,26.709999,22.530056,947310900
2013-01-01,27.250000,28.230000,26.280001,27.450001,23.154259,1145054400
2013-02-01,27.670000,28.200001,27.100000,27.799999,23.449482,780587000
2013-03-01,27.719999,28.660000,27.520000,28.610001,24.332527,844946000
2013-04-01,28.639999,33.110001,28.110001,33.099998,28.151226,1465757200
2013-05-01,32.930000,35.279999,32.320000,34.900002,29.682102,1071860000
2013-06-01,34.919998,35.779999,32.570000,34.540001,29.581924,945155500
2013-07-01,34.750000,36.430000,31.020000,31.840000,27.269497,1111130600
2013-08-01,32.060001,35.200001,30.840000,33.400002,28.605564,1051265000
2013-09-01,31.750000,33.750000,30.950001,33.279999,28.703634,1242961500
2013-10-01,33.349998,36.290001,32.799999,35.410000,30.540737,965331500
2013-11-01,35.669998,38.290001,35.389999,38.130001,32.886723,800431600
2013-12-01,38.090000,38.980000,35.529999,37.410000,32.510414,826617700
2014-01-01,37.349998,37.889999,34.630001,37.840000,32.884098,930226200
2014-02-01,37.740002,38.459999,35.689999,38.310001,33.292553,705304500
2014-03-01,37.919998,41.500000,37.490002,40.990002,35.888676,778425700
2014-04-01,41.150002,41.660000,38.900002,40.400002,35.372089,746112500
2014-05-01,40.240002,40.970001,38.509998,40.939999,35.844891,574362900
2014-06-01,40.950001,42.290001,39.860001,41.700001,36.767872,555767300
2014-07-01,41.860001,45.709999,41.049999,43.160000,38.055195,731616500
2014-08-01,43.209999,45.470001,42.209999,45.430000,40.056698,513919700
2014-09-01,45.430000,47.570000,44.529999,46.360001,41.132004,860827300
2014-10-01,46.270000,46.970001,42.099998,46.950001,41.655464,853260900
2014-11-01,46.889999,50.049999,46.730000,47.810001,42.418499,523005900
2014-12-01,47.880001,49.060001,44.900002,46.450001,41.471783,626771200
2015-01-01,46.660000,47.910000,40.349998,40.400002,36.070190,918966800
2015-02-01,40.590000,44.299999,40.230000,43.849998,39.150440,656509700
2015-03-01,43.669998,44.189999,40.540001,40.660000,36.560669,824335300
2015-04-01,40.599998,49.540001,40.119999,48.639999,43.736134,874535300
2015-05-01,48.580002,48.910000,46.020000,46.860001,42.135593,633072800
2015-06-01,47.060001,47.770000,43.939999,44.150002,39.956821,664853400
2015-07-01,44.459999,47.400002,43.320000,46.700001,42.264629,725458100
2015-08-01,46.980000,48.410000,39.720001,43.520000,39.386646,776480300
2015-09-01,42.169998,45.000000,41.660000,44.259998,40.320511,673079900
2015-10-01,44.750000,54.369999,43.750000,52.639999,47.954620,856716800
2015-11-01,52.849998,54.980000,52.529999,54.349998,49.512417,662626600
2015-12-01,54.410000,56.849998,53.680000,55.480000,50.882519,792820900
2016-01-01,54.320000,55.389999,49.099998,55.090000,50.524834,927914700
2016-02-01,54.880001,55.090000,48.189999,50.880001,46.663708,814770900
2016-03-01,50.970001,55.639999,50.580002,55.230000,51.016907,641110900
2016-04-01,55.049999,56.770000,49.349998,49.869999,46.065788,699025700
2016-05-01,50.000000,53.000000,49.459999,53.000000,48.957027,530704800
2016-06-01,52.439999,52.950001,48.040001,51.169998,47.597221,823627000
2016-07-01,51.130001,57.290001,50.389999,56.680000,52.722500,647587800
2016-08-01,56.599998,58.700001,56.139999,57.459999,53.448044,467078900
2016-09-01,57.009998,58.189999,55.610001,57.599998,53.912209,526427800
2016-10-01,57.410000,61.369999,56.320000,59.919998,56.083664,614841800
2016-11-01,59.970001,61.410000,57.279999,60.259998,56.401897,613056800
2016-12-01,60.110001,64.099998,58.799999,62.139999,58.554443,513579700
2017-01-01,62.790001,65.910004,61.950001,64.650002,60.919617,493453500
2017-02-01,64.360001,65.239998,62.750000,63.980000,60.288280,440744000
2017-03-01,64.129997,66.190002,63.619999,65.860001,62.436039,489169700
2017-04-01,65.809998,69.139999,64.849998,68.459999,64.900871,433191200
2017-05-01,68.680000,70.739998,67.139999,69.839996,66.209122,517218500
2017-06-01,70.239998,72.889999,68.089996,68.930000,65.720985,629716800
2017-07-01,69.330002,74.419998,68.019997,72.699997,69.315483,469851200
2017-08-01,73.099998,74.959999,71.279999,74.769997,71.289108,444070500
2017-09-01,74.709999,75.970001,72.919998,74.489998,71.400551,375983900
2017-10-01,74.709999,86.199997,73.709999,83.180000,79.730133,449950000
2017-11-01,83.680000,85.059998,82.239998,84.169998,80.679062,421926000
2017-12-01,83.599998,87.500000,80.699997,85.540001,82.404037,466203300
2018-01-01,86.129997,95.449997,85.500000,95.010002,91.526848,574258400
2018-02-01,94.790001,96.070000,83.830002,93.769997,90.332314,725663300
2018-03-01,93.989998,97.239998,87.080002,91.269997,88.336983,750754800
2018-04-01,90.470001,97.900002,87.510002,93.519997,90.514664,668130700
2018-05-01,93.209999,99.989998,92.449997,98.839996,95.663704,509417900
2018-06-01,99.279999,102.690002,97.260002,98.610001,95.854782,602585200
2018-07-01,98.099998,111.150002,98.000000,106.080002,103.116066,569352300
2018-08-01,106.029999,112.779999,104.839996,112.330002,109.191444,456628100
2018-09-01,110.849998,115.290001,107.230003,114.370003,111.602264,480255500
2018-10-01,114.750000,116.180000,100.110001,106.809998,104.225212,927548000
2018-11-01,107.050003,112.239998,99.349998,110.889999,108.206497,720228600
2018-12-01,113.000000,113.419998,93.959999,101.570000,99.540192,944314600
2019-01-01,99.550003,107.900002,97.199997,104.430000,102.343040,714212800
2019-02-01,103.779999,113.239998,102.349998,112.029999,109.791168,469095900
2019-03-01,112.889999,120.820000,108.800003,117.940002,116.076683,589095800
2019-04-01,118.949997,131.369995,118.099998,130.600006,128.536667,433157700
2019-05-01,130.529999,130.649994,123.040001,123.680000,121.725990,547218800
2019-06-01,123.849998,138.399994,119.010002,133.960007,132.331619,508316500
2019-07-01,136.630005,141.679993,134.669998,136.270004,134.613541,484547500
2019-08-01,137.000000,140.940002,130.779999,137.860001,136.184204,584474300
2019-09-01,136.610001,142.369995,134.509995,139.029999,137.797318,472544800
2019-10-01,139.660004,145.669998,133.220001,143.369995,142.098831,549523400
2019-11-01,144.259995,152.500000,142.970001,151.380005,150.037827,392364600
2019-12-01,151.809998,159.550003,146.649994,157.699997,156.833633,450303300
2020-01-01,158.779999,174.050003,156.509995,170.229996,169.294800,558530000
2020-02-01,170.429993,190.699997,152.000000,162.009995,161.119965,887625300
2020-03-01,165.309998,175.000000,132.520004,157.710007,157.271988,1612695500
2020-04-01,153.000000,180.399994,150.360001,179.210007,178.712280,984810800
2020-05-01,175.800003,187.509995,173.800003,183.509995,183.000320,537290100
2020-05-22,183.190002,184.460007,182.539993,183.509995,183.509995,20826898
